Rank,Publisher
756,Nintendo
757,Electronic Arts
758,Ubisoft
759,Sony Computer Entertainment
760,Ubisoft
761,Nintendo
762,Electronic Arts
763,Activision
764,Nintendo
765,Nintendo
766,Nintendo
767,Maxis
768,Imagic
769,Konami Digital Entertainment
770,Nintendo
771,SquareSoft
772,Ubisoft
773,Disney Interactive Studios
774,Square Enix
775,Nintendo
776,Microsoft Game Studios
777,Nintendo
778,Take-Two Interactive
779,Take-Two Interactive
780,Activision
781,Konami Digital Entertainment
782,Electronic Arts
783,Nintendo
784,MTV Games
785,Tecmo Koei
786,Warner Bros. Interactive Entertainment
787,SquareSoft
788,THQ
789,Microsoft Game Studios
790,Electronic Arts
791,Valve Software
792,Capcom
793,ASCII Entertainment
794,Capcom
795,THQ
796,Take-Two Interactive
797,Mindscape
798,Electronic Arts
799,Electronic Arts
800,Konami Digital Entertainment
801,Activision
802,THQ
803,Electronic Arts
804,Konami Digital Entertainment
805,Nintendo
806,Take-Two Interactive
807,Electronic Arts
808,Activision
809,Electronic Arts
810,Take-Two Interactive
811,Square Enix
812,THQ
813,Namco Bandai Games
814,Konami Digital Entertainment
815,Electronic Arts
816,Electronic Arts
817,Ubisoft
818,Nintendo
819,THQ
820,Namco Bandai Games
821,Namco Bandai Games
822,Nintendo
823,Electronic Arts
824,Take-Two Interactive
825,Take-Two Interactive
826,Nintendo
827,Infogrames
828,Activision
829,Arena Entertainment
830,Microsoft Game Studios
831,Square Enix
832,Microsoft Game Studios
833,Ubisoft
834,Sony Computer Entertainment
835,Ubisoft
836,Nintendo
837,Electronic Arts
838,Electronic Arts
839,Nintendo
840,Ubisoft
841,Electronic Arts
842,Electronic Arts
843,Activision
844,Electronic Arts
845,Microsoft Game Studios
846,Midway Games
847,Ubisoft
848,Warner Bros. Interactive Entertainment
849,Nintendo
850,Sony Computer Entertainment
851,Nintendo
852,Midway Games
853,Activision
854,Nintendo
855,Electronic Arts
856,Electronic Arts
857,Nintendo
858,Electronic Arts
859,Capcom
860,Electronic Arts
861,Sega
862,Universal Interactive
863,Activision
864,Capcom
865,Electronic Arts
866,Atari
867,Take-Two Interactive
868,Sony Computer Entertainment
869,Nintendo
870,Nintendo
871,Nintendo
872,Ubisoft
873,Activision
874,Vivendi Games
875,Take-Two Interactive
876,LucasArts
877,Electronic Arts
878,Electronic Arts
879,Electronic Arts
880,Disney Interactive Studios
881,THQ
882,Nintendo
883,Atari
884,Sony Computer Entertainment
885,Ubisoft
886,Activision
887,Warner Bros. Interactive Entertainment
888,Activision
889,Acclaim Entertainment
890,Sega
891,Nintendo
892,Midway Games
893,Ubisoft
894,Nintendo
895,Square Enix
896,Nintendo
897,Electronic Arts
898,Electronic Arts
899,THQ
900,Electronic Arts
901,THQ
902,Sony Computer Entertainment
903,Disney Interactive Studios
904,Nintendo
905,LucasArts
906,Midway Games
907,Activision
908,LucasArts
909,LucasArts
910,Take-Two Interactive
911,Electronic Arts
912,Electronic Arts
913,Nintendo
914,Sony Computer Entertainment
915,Konami Digital Entertainment
916,Midway Games
917,Sony Computer Entertainment
918,Electronic Arts
919,THQ
920,Disney Interactive Studios
921,Nintendo
922,Electronic Arts
923,THQ
924,Nintendo
925,Nintendo
926,Electronic Arts
927,Activision
928,Sony Computer Entertainment
929,Acclaim Entertainment
930,Sony Computer Entertainment
931,Sony Computer Entertainment
932,Electronic Arts
933,Disney Interactive Studios
934,SquareSoft
935,Activision
936,Nintendo
937,Sony Computer Entertainment
938,Ubisoft
939,Square Enix
940,Nintendo
941,Sony Computer Entertainment
942,Unknown
943,Namco Bandai Games
944,Electronic Arts
945,Nintendo
946,THQ
947,Activision
948,Sony Computer Entertainment
949,Square Enix
950,SquareSoft
951,Electronic Arts
952,Sony Computer Entertainment
953,Nintendo
954,Sega
955,Namco Bandai Games
956,Electronic Arts
957,Nintendo
958,Nintendo
959,Bethesda Softworks
960,Konami Digital Entertainment
961,Sega
962,Sega
963,Sony Computer Entertainment
964,Activision
965,Sega
966,Electronic Arts
967,Take-Two Interactive
968,989 Studios
969,Activision
970,Virgin Interactive
971,Sony Computer Entertainment
972,Microsoft Game Studios
973,Take-Two Interactive
974,Square Enix
975,THQ
976,Sony Computer Entertainment
977,Nintendo
978,Square Enix
979,Capcom
980,Nintendo
981,Vivendi Games
982,Disney Interactive Studios
983,Nintendo
984,Electronic Arts
985,Square
986,Nintendo
987,Microsoft Game Studios
988,THQ
989,Nintendo
990,Acclaim Entertainment
991,THQ
992,Nintendo
993,Sega
994,Nintendo
995,Electronic Arts
996,Ubisoft
997,Take-Two Interactive
998,Take-Two Interactive
999,Square Enix
1000,THQ
1001,Activision
1002,Electronic Arts
1003,Electronic Arts
1004,Activision
1005,Electronic Arts
1006,Square Enix
1007,Activision
1008,Konami Digital Entertainment
1009,Microsoft Game Studios
1010,Nintendo
1011,Capcom
1012,Nintendo
1013,505 Games
1014,Konami Digital Entertainment
1015,THQ
1016,LucasArts
1017,Namco Bandai Games
1018,Valve
1019,MTV Games
1020,Microsoft Game Studios
1021,Sega
1022,Nintendo
1023,Electronic Arts
1024,Activision
1025,Sony Computer Entertainment
1026,Activision
1027,Electronic Arts
1028,Activision
1029,989 Studios
1030,Electronic Arts
1031,Disney Interactive Studios
1032,Universal Interactive
1033,Bethesda Softworks
